title,authors,Annee,Pays,Journal,Quartile,Citations,Impact_Score,abstract_
ZK-BFT: A Zero-knowledge and Byzantine Fault Tolerant Consensus for Permissioned Blockchain Networks,"Wanxin Li, Collin Meese, Mark Nejad, Hao Guo",2024,Canada,ACM Digital Library,Q1,66,5.51,N/A
AIArena: A Blockchain-Based Decentralized AI Training Platform,"Zhipeng Wang, Rui Sun, Elizabeth Lui, Tuo Zhou, Yizhe Wen, Jiahao Sun",2025,Germany,ACM Digital Library,Q2,46,7.78,N/A
Blockchain Smart Contract Security: Threats and Mitigation Strategies in a Lifecycle Perspective,"Detian Liu, Jianbiao Zhang, Yifan Wang, Hong Shen, Zhaoqian Zhang, Tao Ye",2025,Canada,ACM Digital Library,Q2,95,6.38,N/A
Poster: When Blocks Go Missing: The Timeliness and Trustworthiness of Blockchain RPC Providers,"Ye Shu, Deian Stefan, Stefan Savage, Geoffrey M. Voelker, Enze Liu",2025,Germany,ACM Digital Library,Q1,29,2.12,N/A
Toward Scalable and Secure Blockchain in Internet of Things: A Preference-Driven Committee Member Auction Consensus Approach,"Akshaya Mathur, Masoud Barati, Gagangeet Singh Aujla, Omer Rana",2025,Canada,ACM Digital Library,Q2,154,8.12,N/A
OnlyTips: Blockchain-Driven Tips Service,"Dmitry Kurbatov, Marianna Rybnikova, Yash Madhwal, Yury Yanovich, Gleb Zotov",2023,Canada,ACM Digital Library,Q1,32,2.01,N/A
BB-FLoC: A Blockchain-Based Targeted Advertisement Scheme with k-Anonymity,"Edvinas Kruminis, Keivan Navaie, Onur Ascigil",2025,Germany,ACM Digital Library,Q3,30,4.32,N/A
Evaluating the Need for Explanations in Blockchain Smart Contracts to Reconcile Surprises,"Hanouf Al Ghanmi , Sabreen Ahmadjee, Rami Bahsoon",2025,Germany,ACM Digital Library,Q3,27,6.93,N/A
Fork State-Aware Differential Fuzzing for Blockchain Consensus Implementations,"Wonhoi Kim, Hocheol Nam, Muoi Tran, Amin Jalilov, Zhenkai Liang, + 2",2025,France,ACM Digital Library,Q1,131,9.36,N/A
Design of Public Physical Education Curriculum Management System Based on Blockchain Technology,Yang Liu,2025,India,ACM Digital Library,Q1,7,1.58,N/A
A Privacy-Preserving Blockchain Framework for Sustainable Supplier Evaluation in the Textile Industry,"Alberto Butera, Noemi Romani, Silvio Meneguzzo, Valentina Gatteschi",2025,India,ACM Digital Library,Q3,72,4.02,N/A
Understanding Security Audits on Blockchain,"Zhiju Yang, Gaoyuan Man, Songqing Yue",2023,Germany,ACM Digital Library,Q2,23,1.77,N/A
Wielding Blockchain Transactions for Capture-Replay Testing of Upgradeable Smart Contracts,"Morena Barboni, Guglielmo De Angelis, Andrea Morichetta, Andrea Polini",2025,Canada,ACM Digital Library,Q2,14,2.03,N/A
A Zero-Knowledge Proof-Based Protocol for Privacy-Preserving Transactions on Public Blockchains,"Hao Pham Duc, Khang Vo, Khuong Nguyen - An",2025,India,ACM Digital Library,Q1,45,7.59,N/A
A Blockchain-based Protocol of Trusted Setup Ceremony for Zero-Knowledge Proof,"Chanik Park, Moonhyeon Chung, Donghyeon Ryu",2023,France,ACM Digital Library,Q2,31,6.24,N/A
BlockNetSys'25: 1st Workshop on Blockchain-Network Synergy: Addressing Network-Centric Challenges in Decentralized Systems,"Huawei Huang, Dusit Niyato, Yi Sun, Hironori Washizaki",2025,Germany,ACM Digital Library,Q4,139,8.69,N/A
Looseness for Choreography-based Software Architectures on Blockchain,"Flavio Corradini, Alessandro Marcelletti, Andrea Morichetta, Andrea Polini, + 2",2025,Canada,ACM Digital Library,Q3,29,1.65,N/A
Digital Twins and Blockchain for IoT Management,"Mayra Samaniego, Ralph Deters",2023,China,ACM Digital Library,Q1,32,6.53,N/A
Beyond the Blockchain Address: Zero-Knowledge Address Abstraction,"Sanghyeon Park, Jeonghyuk Lee, Seunghwa Lee, Jung Hyun Chun, + 4",2025,Canada,ACM Digital Library,Q2,8,0.51,N/A
BPPV-Chain: A Sharding Blockchain System with Output Shard Batch Processing and Parallel Transaction Verification,"Jinfeng Ding, Qihua Hu, Changkai Lin, Minglin Shi, Hongju Cheng",2024,Canada,ACM Digital Library,Q4,35,3.19,N/A
Centralized Trust in Decentralized Systems: Unveiling Hidden Contradictions in Blockchain and Cryptocurrency,"Faisal Haque Bappy, EunJeong Cheon, Tariqul Islam",2025,UK,ACM Digital Library,Q2,99,7.64,N/A
CLEAN: Cloud-enabled Scalable Blockchain Outsourcing System Using Dynamic Programming,"Weilin Chan, Yihang Wei, Peng Jiang, Lei Xu, Liehuang Zhu, Jing Yu",2025,Germany,ACM Digital Library,Q3,134,7.46,N/A
BIOTC '25: Proceedings of the 2025 7th Blockchain and Internet of Things Conference,"... ...
Highlights",2025,France,ACM Digital Library,Q1,6,2.1,N/A
DID-based Distributed Verifiable Random Function with Successor Rule-based de Bruijn Sequence in Blockchain,"Bong Gon Kim, Dennis Wong",2024,France,ACM Digital Library,Q1,10,2.56,N/A
GenShare: A Blockchain-based Genomic Data Sharing Platform,"Beyhan Adanur Dedeturk, Ahmet Soran, Burcu Bakir-Gungor",2025,France,ACM Digital Library,Q1,16,8.25,N/A
Jointly Trading Energy and Flexibility Based on FlexOffers and Blockchain,"Laurynas Siksnys, Torben Bach Pedersen",2025,Germany,ACM Digital Library,Q3,43,7.27,N/A
AmIOnline: Blockchain-based Availability Testing Service,"Sabina Belyaeva, Maksim Ivanov, Aleksey Korneev, Yury Yanovich",2023,China,ACM Digital Library,Q1,29,1.49,N/A
A Blockchain-Assisted Revocable and Efficient ABSE Scheme for Secure Medical Data Sharing,"Gao Hancheng, Wu Xiaoyu, Haiping Huang, Li Qi, Xing Yizheng",2025,China,ACM Digital Library,Q2,119,5.99,N/A
SoK: Research status and challenges of blockchain smart contracts,"Feng Wang, Yang Lu, Qiang Zhang, Yang Liu, Linlin Liu, Zhiruo Zhang",2023,Canada,ACM Digital Library,Q2,30,2.02,N/A
Secure Hardware-Assisted Blockchain Framework for IoT Device Authentication using Zero-Knowledge Proofs,"Kesara Wimal, Gary Cullen, John Donovan",2025,France,ACM Digital Library,Q3,74,6.8,N/A
"A Review on Blockchain Technology, Current Challenges, and AI-Driven Solutions","Moetez Abdelhamid, Layth Sliman, Raoudha Ben Djemaa, Guido Perboli",2024,Brazil,ACM Digital Library,Q2,70,3.71,N/A
AHB: Post-Quantum Ad Hoc Blockchain for Private Barter (Extended Abstract),"Hillel Avni, Shir Buchner, Shlomi Dolev, Moti Yung",2025,China,ACM Digital Library,Q2,77,7.09,N/A
Blockchain Scalability with Proof of Descriptor,"Zachary Painter, Christina Peterson, Victor Cook, Damian Dechev",2025,India,ACM Digital Library,Q3,34,2.0,N/A
Implementing Multisignature on a Blockchain-based Land Administration System: Securing Land Rights and Enhancing Transparency,"Attoumane Tahar, Gervais Mendy, Samuel Ouya",2023,France,ACM Digital Library,Q2,23,1.47,N/A
A Novel Artificial Intelligence Voice Electronic Medical Record Based on Blockchain,"Weiming Xie, Zhaomin Yao, Xiaozhou Bai, Lang Mai, Ying Zhan, + 5",2025,France,ACM Digital Library,Q2,3,1.29,N/A
Why Does My Transaction Fail? A First Look at Failed Transactions on the Solana Blockchain,"Xiaoye Zheng, Zhiyuan Wan, David Lo, Difan Xie, Xiaohu Yang",2025,UK,ACM Digital Library,Q2,90,5.64,N/A
Trusted Blockchain-based Data Fingerprinting Differential-Traceability and SkipList Indexing Methods in Privacy Protection,"Jiazheng Zhang, Fenhua Bai, Tao Shen, Bei Gong, Jianzhao Luo",2022,USA,ACM Digital Library,Q2,47,2.99,N/A
zkEC@0.0.1: Evolutionary Computation Meets Programmable Cryptography on Blockchain,Goshgar Can Ismayilov,2025,France,ACM Digital Library,Q1,1,1.54,N/A
Blockchain Data Storage Optimisations: A Comprehensive Survey,"Jun Wook Heo, Gowri Sankar Ramachandran, Ali Dorri, Raja Jurdak",2024,Germany,ACM Digital Library,Q1,113,7.1,N/A
Quantum-Resistant FOTA: End-to-End Decentralized Firmware Updates for IoT Using Blockchain and CRYSTALS-Dilithium,"Ratul Hasan, Md. Momenul Haque, Redoanul Haque, Yousuf Oley, Ruhani Akter",2025,India,ACM Digital Library,Q1,30,4.37,N/A
AERO: Enhancing Sharding Blockchain via Deep Reinforcement Learning for Account Migration,"Mingxuan Song, Pengze Li, Bohan Zhou, Shenglin Yin, Zhen Xiao, Jieyi Long",2025,USA,ACM Digital Library,Q1,7,2.4,N/A
MiAR-BFT: Efficient Leaderless Consensus Based on Multi-instance Asynchronous Running for Blockchain,"Zhenyu Zhang, Xing Tong, Zhao Zhang, Cheqing Jin",2025,Canada,ACM Digital Library,Q1,39,3.0,N/A
Research on Data Security for Digital Mental Health Records Based on Blockchain,"Xinyu Ai, Taohong Yang, Wei He, Tianqing Yang",2025,India,ACM Digital Library,Q1,30,3.79,N/A
Understanding GasToken Adoption in the Ethereum Blockchain,"Lixuan Luo, Mariano P. Consens",2023,Germany,ACM Digital Library,Q1,24,2.7,N/A
A Blockchain-Based Self-Sovereign Identity System for KYC Processes,"Chengzu Dong, Aiting Yao, Zhiyu Xu, Meiqu Lu, Frank Jiang, + 2",2025,Brazil,ACM Digital Library,Q1,33,6.64,N/A
Blockchain for Storing Shadow Data of IoT Devices,"Luwei Bao, Gehao Lu",2023,Germany,ACM Digital Library,Q3,20,1.54,N/A
Towards a Sustainable Blockchain: A Peer-to-Peer Federated Learning based Approach,"Vidushi Agarwal, Shruti Mishra, Sujata Pal",2024,France,ACM Digital Library,Q4,24,8.24,N/A
Simulating Blockchain Applications in Large-Value Payment Systems through Agent-Based Modeling,"Kenneth See, Nicholas MacGregor Garcia, Xiaofan Li",2025,UK,ACM Digital Library,Q2,14,1.08,N/A
A Novel Blockchain-Driven Proof-of-Stake Model for Cooperative Navigation in Visual Homing Robotic Teams,"Nasim Paykari, Mohamed Rahouti, Damian M. Lyons",2025,Brazil,ACM Digital Library,Q2,15,5.16,N/A
Edge AI Consensus: Blockchain-Secured Federated Learning for Trustless Intelligence Network,"Shubham Gupta, Kusumakumari Vanteru, Prasad Gadiraju, Srinivas Reddy",2025,Brazil,ACM Digital Library,Q1,28,5.74,N/A
Analysis and auditing of operational data using blockchain and NLP technology,"Jun Zhou, Furong Chen, Jiayun Liu, Jia Li, Yanan Zhang, Yumeng Guo",2025,Germany,ACM Digital Library,Q1,27,1.55,N/A
Fully Anonymous Decentralized Identity Supporting Threshold Traceability with Practical Blockchain,"Yizhong Liu, Zedan Zhao, Boyu Zhao, Feiang Ran, Xun Lin, Dawei Li, + 1",2025,UK,ACM Digital Library,Q2,103,6.9,N/A
Blockchain Takeovers in Web 3.0: An Empirical Study on the TRON-Steem Incident,"Chao Li, Runhua Xu, Balaji Palanisamy, Li Duan, Meng Shen, Jiqiang Liu, + 1",2025,China,ACM Digital Library,Q1,29,7.3,N/A
"A Tech-Enhanced Framework for ESP-EGP Integration: Leveraging Big Data, VR, Blockchain, and NLP",Ziyuan Wang,2025,Canada,ACM Digital Library,Q1,76,6.95,N/A
A Hierarchical Blockchain Supporting Dynamic Locality by Extending Execute-Order-Validate Architecture,"Yongrae Jo, Chanik Park",2025,UK,ACM Digital Library,Q1,9,4.64,N/A
Blockchain Capabilities in Supply Chain Management: A Literature Review,"Cong Qi, Xuan Wu, Mengting Chen",2023,India,ACM Digital Library,Q4,37,9.43,N/A
AI and Blockchain Enabled Future Wireless Networks: A Survey And Outlook,"Ziyi Zhou, Oluwakayode Onireti, Hao Xu, Lei Zhang, Muhammad Imran",2024,China,ACM Digital Library,Q1,23,1.4,N/A
A Parallel Execution Model for Permissioned Blockchain Systems,"Tianjing Xu, Yiming Zhang",2023,USA,ACM Digital Library,Q2,17,2.53,N/A
Biometric-Based Recovery Mechanism for Blockchain-Based Wallet,Budoor Saeed Bawazeer,2025,Germany,ACM Digital Library,Q1,133,7.42,N/A
TrCoin: A Blockchain-Based Robust Trust Management System for VANET,"Ehsan Memary, Chien-Chung Shen, Hao Guo, Mark Nejad",2025,UK,ACM Digital Library,Q3,0,0.9,N/A
Paperless Everything: A Systematic Literature Review for the Design of Blockchain-based Document Management Systems,"Hauke Precht, Joschka Andreas Hüllmann, Jorge Marx Gómez",2025,Canada,ACM Digital Library,Q1,39,2.83,N/A
AI-Enhanced Blockchain Networks for Climate Change Monitoring and Carbon Credit Verification,"Shubham Gupta, Kusumakumari Vanteru, Srinivas Reddy, Bhanuprakash Madupati",2025,UK,ACM Digital Library,Q2,5,5.52,N/A
"DEBAI '25: Proceedings of the 2025 2nd International Conference on Digital Economy, Blockchain and Artificial Intelligence","... ...
Highlights",2025,France,ACM Digital Library,Q2,6,6.37,N/A
"A Hybrid Architecture for a Secured Health Information Exchange using FHIR, Blockchain, and IPFS","Christian Pulmano, Proceso Fernandez",2025,Canada,ACM Digital Library,Q3,19,9.72,N/A
"A Systematic Literature Review on Blockchain-based Smart Contracts: Platforms, Applications, and Challenges","Renu Singh, Ashlesha Gupta, Poonam Mittal",2025,Germany,ACM Digital Library,Q2,15,2.54,N/A
Constructing a Blockchain-based Framework for Enhancing the Reliability of Election Polls,"Jhe-Yu Lin, Yu-Hwa Liu, Yu-Chi Chen, Chih-Chieh Chang",2024,Germany,ACM Digital Library,Q1,20,1.3,N/A
"Blockchain Cross-Chain Bridge Security: Challenges, Solutions, and Future Outlook","Ningran Li, Minfeng Qi, Zhiyu Xu, Xiaogang Zhu, Wei Zhou, Sheng Wen, + 1",2025,France,ACM Digital Library,Q2,34,2.84,N/A
zkLogin: Privacy-Preserving Blockchain Authentication with Existing Credentials,"Foteini Baldimtsi, Konstantinos Kryptos Chalkias, Yan Ji, Jonas Lindstrøm, + 5",2024,USA,ACM Digital Library,Q2,16,0.96,N/A
The Logistics Model Based on Blockchain and SM2 Algorithm,"Xiaoning Ma, Yang Li",2025,USA,ACM Digital Library,Q3,41,4.64,N/A
Scalable Consensus Framework with Adaptive Governance and Fault Tolerance for Blockchain Ecosystems,"Saurav Ghosh, S M Dedar Alam, Batuhan Tanrikulu, Reshmi Mitra, Indranil Roy",2025,Germany,ACM Digital Library,Q3,146,8.59,N/A
Analysis of the Impact of Blockchain Technology Adoption on the Competitive Landscape of New and Remanufactured Products Markets,"Linli Meng, Jiezhen Song, Ning Zheng",2025,UK,ACM Digital Library,Q1,48,9.68,N/A
Event Detection and Trust Verification using Blockchain,"Amir Labib Khan, K. M. Azharul Hasan",2025,Canada,ACM Digital Library,Q2,21,2.17,N/A
Exploring Blockchain Technology through a Modular Lens: A Survey,"Minghui Xu, Yihao Guo, Chunchi Liu, Qin Hu, Dongxiao Yu, Zehui Xiong, + 2",2024,Brazil,ACM Digital Library,Q2,91,6.11,N/A
Enhancing Visual Homing in Robotics: A Study on Blockchain Integration and Consensus Algorithms,"Nasim Paykari, Damian M. Lyons, Mohamed Rahouti",2025,Germany,ACM Digital Library,Q1,5,5.34,N/A
Implementation of Privacy-Preserving Identifiers for the Secure Storage of Electronic Health Records on the Ethereum Blockchain,"Swati Kumari, Hitesh Tewari",2025,Germany,ACM Digital Library,Q1,41,6.94,N/A
Research on Technical Framework and Dynamic Authorization Mechanism for Enterprise-Level Data Security Exchange and Sharing Based on Blockchain,"Guohua Lian, Chan Huahyong, Ting Wang, Haiyi Gao",2025,USA,ACM Digital Library,Q2,102,8.58,N/A
FLock: Robust and Privacy-Preserving Federated Learning based on Practical Blockchain State Channels,"Ruonan Chen, Ye Dong, Yizhong Liu, Tingyu Fan, Dawei Li, Zhenyu Guan, + 2",2025,Canada,ACM Digital Library,Q2,26,3.74,N/A
Blockchain for IoT Scenarios: Lightweight Three-Tier Architecture with GH-PBFT Consensus,"Ziwen Dai, Qi Xia",2024,Brazil,ACM Digital Library,Q1,8,2.2,N/A
Cross-Chain Blockchain Voting System with NFT-Based Authentication,"Duc Bui Tien, Nam Tran Ba, Khanh Vo Hong",2025,Canada,ACM Digital Library,Q3,31,4.48,N/A
User identification Solution based on Federated learning and Blockchain,"Quan Yuan, Yunlong Xie, Hanning Zhang, Jun Song",2025,Germany,ACM Digital Library,Q3,50,5.03,N/A
Counterweights and Complementarities: The Convergence of AI and Blockchain Powering a Decentralized Future,"Yibai Li, Zhiye Jin, Xiaobing (Emily) Li, K. D. Joshi, Xuefei (Nancy) Deng",2025,USA,ACM Digital Library,Q4,68,9.77,N/A
Batch Transaction Processing for Adaptive Sharding Blockchain-Enabled Edge Computing,"Yuqi Fan, Bo Gao, Dong Sheng, Zipeng Hu, Xu Ding",2025,China,ACM Digital Library,Q2,115,9.63,N/A
Blockchain Bribing Attacks and the Efficacy of Counterincentives,"Dimitris Karakostas, Aggelos Kiayias, Thomas Zacharias",2024,USA,ACM Digital Library,Q1,63,9.13,N/A
Research on the Construction of Design Thinking Education Platform in Colleges and Universities Empowered by Blockchain,"Jian Rao, Mengting Chen",2025,France,ACM Digital Library,Q3,103,6.49,N/A
Blockchain-Driven Gamification Solution for Improving Road Traffic Safety,"Bogdan Cristian Florea, Alin Alexandru Serban, Dragos Daniel Taralunga",2025,USA,ACM Digital Library,Q1,86,8.64,N/A
Quantum Safe Lattice-Based Single Round Online Collaborative Multi-Signature Scheme for Blockchain-Enabled IoT Applications,"Prithwi Bagchi, Basudeb Bera, Ashok Kumar Das, Biplab Sikdar",2025,Germany,ACM Digital Library,Q1,42,4.75,N/A
Blockchain-based Vaccine Supervision System,"Na Liu, Wei-Tek Tsai",2024,Germany,ACM Digital Library,Q2,25,3.68,N/A
Chainlet Orbits: Topological Address Embedding for Blockchain,"Poupak Azad, Baris Coskunuzer, Murat Kantarcioglu, Cuneyt G. Akcora",2025,Germany,ACM Digital Library,Q4,20,1.04,N/A
A Security Data Exchange Mechanism for IIoT Based on Blockchain,"Yang Liu, Ru Huo, Ningjie Gao, Cheng Chi, Tao Huang",2025,UK,ACM Digital Library,Q1,21,1.83,N/A
Enhancing Cybersecurity with Blockchain: A Decentralized Approach to Securing Digital Infrastructure,"Sanjay Kumar Sinha, Sandip Kumar Singh Modak, Praven Kumar Tyagi, + 1",2025,China,ACM Digital Library,Q4,32,3.61,N/A
Improving Healthcare Record Management System in Indonesia by Using Blockchain Technology,"Asnan Habib Munassar, Muhammad Ardiansyah Arsyad, Richard Richard",2023,USA,ACM Digital Library,Q3,6,1.16,N/A
Matching Accounts on Blockchain via Pseudo Fine-tuning of Language Models,"Sihao Hu, Tiansheng Huang, Fatih Ilhan, Selim Furkan Tekin, Greg Eisenhauer, + 2",2026,France,ACM Digital Library,Q3,53,3.15,N/A
A Pipeline-based Chain Structure Byzantine Consensus Algorithm for Blockchain Systems,"Xinlei Liu, Yang Liu, Xiangyang Li, Haohao Cao, Yaoqi Wang",2023,China,ACM Digital Library,Q1,32,3.27,N/A
Accelerating Blockchain Applications on IoT Architecture Models—Solutions and Drawbacks,"Roland Kromes, François Verdier",2024,Brazil,ACM Digital Library,Q4,15,1.16,N/A
Towards a Formal Foundation for Blockchain ZK Rollups,"Stefanos Chaliasos, Denis Firsov, Benjamin Livshits",2025,Brazil,ACM Digital Library,Q1,25,1.48,N/A
Privacy-preserving Charging Station Recommendation System for Electric Vehicles over Blockchain,"Jianbin Li, Xinhao Yang",2023,Canada,ACM Digital Library,Q2,16,4.08,N/A
A Classification Method for Blockchain Addresses Considering Features of Address Clusters,"Tomohiro Ojika, Shin Morishima",2024,China,ACM Digital Library,Q1,132,8.28,N/A
Leveraging Blockchain and Machine Learning to Promote Child Labor-Free Sustainable Development,"Ahmad Musamih, Abduraouf Hassan, Khaled Salah, Raja Jayaraman, + 2",2025,France,ACM Digital Library,Q4,77,9.71,N/A
Courtsafe: Legal Records Storage & Management Using Blockchain,"Rohit Kumar, Harshit Agarwal, Ananya Tayal, Hema Nagaraja",2024,UK,ACM Digital Library,Q1,86,8.68,N/A
An Improved-PoA Consensus Algorithm for Blockchain-empowered Data Sharing System,"Jing Song, Fenhua Bai, Yan Zhu, Tao Shen, Anke Xie",2022,Germany,ACM Digital Library,Q1,62,6.94,N/A
A Traceability System Model of Agricultural Products based on Blockchain,"Li Bo, Xuegang Luo, Junrui Lv, Yan Xue",2025,China,ACM Digital Library,Q1,13,6.98,N/A
Blockchain-Powered Fraud Prevention in Health Insurance Industry,"Zain Buksh, A B M Shawkat Ali, Amin Sakzad",2025,Germany,ACM Digital Library,Q1,29,4.16,N/A
Research on germplasm resource management based on blockchain technology,"Weilai Meng, Aiguo Chen, Yu Wu",2025,USA,ACM Digital Library,Q1,53,7.69,N/A
An Ensemble based Fraudulent Blockchain Account Detection System,"Rishabh Ralli, Gargi Jugran, Mayank Gaurav, Mukta Goyal",2024,Canada,ACM Digital Library,Q3,46,7.8,N/A
Responsible Recommendation Services with Blockchain Empowered Asynchronous Federated Learning,"Waqar Ali, Rajesh Kumar, Xiangmin Zhou, Jie Shao",2024,Canada,ACM Digital Library,Q1,49,9.93,N/A
Research on the Carbon Accounting Model for Chemical Enterprises Based on Blockchain,"Xinghai Zhou, Dan Liu",2025,Canada,ACM Digital Library,Q1,2,2.47,N/A
Connect API with Blockchain: A Survey on Blockchain Oracle Implementation,"Amirmohammad Pasdar, Young Choon Lee, Zhongli Dong",2023,Germany,ACM Digital Library,Q1,31,7.88,N/A
HyPoPE: A Hybrid Proof of Participation and Efficiency Protocol for Secure IoT Blockchain Networks,"Aditya Aryaman Das, Gautam Srivastava",2025,UK,ACM Digital Library,Q3,11,0.7,N/A
The Impact of Blockchain Technology on Financial Services and Digital Transactions,"Alisher Izzatillayev, Shoh Jakhon Khamdamov, Anvar Usmanov, + 4",2025,France,ACM Digital Library,Q3,6,6.3,N/A
Design of Logistics Cloud Platform Based on Blockchain,"Qin Wang, Xinke Du",2022,France,ACM Digital Library,Q2,58,8.32,N/A
A Game Theoretical Analysis of Non-linear Blockchain System,"Lin Chen, Lei Xu, Zhimin Gao, Ahmed Imtiaz Sunny, Keshav Kasichainula, + 1",2024,USA,ACM Digital Library,Q2,1,0.64,N/A
BSS-ITS: Blockchain Scaling Scheme with Sharding for Intelligent Transportation System,"Yufei Liu, Jiqiang Liu, Jian Wang, Tianhao Liu, Xudong He",2022,India,ACM Digital Library,Q1,5,5.46,N/A
Dos and Don’ts in Blockchain Research and Development,"Wenbing Zhao, Shunkun Yang, Xiong Luo, Jiong Zhou",2022,Brazil,ACM Digital Library,Q1,66,3.52,N/A
Research on Design and Application of Power Dispatch Based on Blockchain,"Rizhen Qin, Lihua Zhao, Da Li, Ke Yang, Jiaxing Xuan, Hejian Wang",2021,France,ACM Digital Library,Q1,5,5.69,N/A
Judicial Electronic Evidence Storage and Security Access Control based on Blockchain Technology,"Xiaohua Wen, Jia Mei",2025,USA,ACM Digital Library,Q1,88,5.54,N/A
Enhancing e-KYC Security and Privacy: Harnessing Quantum Computing and Blockchain in Web 3.0,"G. M. Faruk Ahmed, Imran Hasan, Md Soumike Hassan, Rahul Khan, + 4",2024,China,ACM Digital Library,Q1,5,0.89,N/A
Blockchain-Empowered Search Over Encrypted Data With Forward and Backward Privacy,"Shaolong Tang, Jie Liu, Xiaoyao Luo, Peng Jiang, Keke Gai, Lei Xu, + 1",2023,China,ACM Digital Library,Q2,49,2.76,N/A
Enhancing the Regulatory Framework around Electronic Signatures through the Integration of Blockchain Technology,"Yunqi Yang, Grace T.R. Lin",2024,India,ACM Digital Library,Q3,45,3.78,N/A
A Secure and IoT-Enabled Data Sharing System Based on IPFS and IOTA Blockchain,"Tse-Yang Huang, Yu-Chi Chen, Tsung-Chen Hsieh, Huan-Chi Chang, + 1",2023,Germany,ACM Digital Library,Q1,0,0.63,N/A
Collaborative Construction Method of Biomedical Knowledge Graph Based on Multi-Blockchain,"Jinlong Wang, Zhenxi Xie, Hui Xin, Pengjun Li, Yuanyuan Zhang, + 2",2024,UK,ACM Digital Library,Q1,19,2.8,N/A
An Anonymous Cross-Domain Authentication Scheme Based on Blockchain Smart Contracts,Jingbo Guan,2025,India,ACM Digital Library,Q1,11,5.69,N/A
Library resource sharing system and data management model based on blockchain,"Yuheng Sun, Wei Zhou, Lin Deng, Hao Liu",2025,Canada,ACM Digital Library,Q2,44,3.73,N/A
Intelligent Connected Vehicle Data Security Protection Scheme Based on Federated Learning and Blockchain,"Yu Wang, Haijun Wang, Yingyi Yao, Zongshuang Jiao, Linlin Zhou, Yufei Wu",2025,Germany,ACM Digital Library,Q2,43,4.8,N/A
A Consortium Blockchain-Based Edge Task Offloading Method for Connected Autonomous Vehicles,"Bowen Liu, Hao Tian, Zhijie Shen, Yueyue Xu, Wanchun Dou",2025,Brazil,ACM Digital Library,Q1,100,9.13,N/A
SEGBFT: A Scalable Consensus Protocol for Consortium Blockchain,"Jingwen Wu, Ningkang Jiang",2022,India,ACM Digital Library,Q3,74,3.91,N/A
Realizing Corrupted-Shard Tolerance: A Sharding Blockchain with Preserving Global Resilience,"Yizhong Liu, Andi Liu, Zhuocheng Pan, Yuxuan Hu, Jianwei Liu, + 5",2025,France,ACM Digital Library,Q4,52,7.5,N/A
An Reliable Blockchain-Based Attribute Inner Product Encryption Data Sharing Scheme,"Huazhi Wang, Bo Zhou",2025,UK,ACM Digital Library,Q2,23,2.18,N/A
Design and Application of Music NFT Trading System Based on Blockchain and Multi-layer Minting,"Minzhe Yu, Charles Li, Jiawen He, Zhipeng Zhao, Ruichun Tang",2024,USA,ACM Digital Library,Q2,32,2.48,N/A
Blockchain-Driven Supply Chain Transparency and Trust Building in Cross-border Logistics,Jiahui Liang,2025,Brazil,ACM Digital Library,Q1,133,9.53,N/A
SCRamble: Adaptive Decentralized Overlay Construction for Blockchain Networks,"Evangelos Kolyvas, Alexandros Antonov, Spyros Voulgaris",2026,USA,ACM Digital Library,Q2,4,4.27,N/A
A Blockchain-based Co-Simulation Platform for Transparent and Fair Energy Trading and Management,"Ye Chen, Peilin Wu, Yuanliang Li, Peng Zhang, Jun Yan, + 2",2023,France,ACM Digital Library,Q1,10,5.08,N/A
Anomaly Detection Services for Blockchain Smart Contracts with Unknown Vulnerabilities,"Chunhong Liu, Zihang Sang, Li Duan, Jingxiong Wang, Wei Ni, Wei Wang",2025,Canada,ACM Digital Library,Q1,97,6.07,N/A
Research on the application of Blockchain Legal Technology in the supervision and management of online transactions,"Xiaoli Guo, Jian LI, JingWen Hang",2022,USA,ACM Digital Library,Q2,69,6.28,N/A
IOT data access control scheme combining attribute-based encryption and blockchain,"Mingrui Liu, Chen Wang, Baocheng Wang",2025,USA,ACM Digital Library,Q2,6,0.61,N/A
Enhancing Transparency and Traceability in Handicrafts Supply Chains Using Blockchain and NFTs,"Duc Bui Tien, Khiem Huynh Gia, Trung Phan Hoang Tuan",2025,UK,ACM Digital Library,Q1,179,8.98,N/A
Microcosm: A Scalable Transaction Processing Scheme for Modular Blockchain (Industry Track),"Mansub Song, Hyojin Song, Nadine Ben Amar, Yunhyeong Seo, Yongseok Son, + 1",2024,China,ACM Digital Library,Q1,22,2.85,N/A
VWeiST: A Scalable and Efficient Proof-of-Stake Blockchain Consensus,"Hang Xiong, Cheng Qu, Jing Li",2024,France,ACM Digital Library,Q3,13,4.47,N/A
"AAA: A blockchain-based architecture for ethical, robust authenticated anonymity","Luca Sciullo, Alberto De Marchi, Lorenzo Gigli, Monica Palmirani, Fabio Vitali",2024,India,ACM Digital Library,Q2,40,2.14,N/A
ICBTA '24: Proceedings of the 2024 7th International Conference on Blockchain Technology and Applications,"... ...
Highlights",2025,UK,ACM Digital Library,Q3,74,6.8,N/A
Design and Implementation of a Compact Educational Blockchain System to Aid Understanding of System Integrity and Behavior,"Kengo Matsui, Shigeki Hagihara",2025,USA,ACM Digital Library,Q1,61,4.37,N/A
A blockchain enhanced book lending system for college library,"Xuming Zhang, Xiao Zhang, Rende Li",2022,India,ACM Digital Library,Q1,114,8.8,N/A
